iter	Passed	Remaining
0	35	9110
1	75	9700
2	127	10896
3	179	11450
4	230	11687
5	281	11854
6	330	11911
7	375	11776
8	414	11522
9	461	11501
10	514	11600
11	572	11782
12	626	11859
13	669	11713
14	706	11498
15	744	11300
16	784	11171
17	828	11090
18	871	11007
19	921	11007
20	961	10902
21	1000	10773
22	1042	10701
23	1085	10626
24	1134	10615
25	1184	10618
26	1230	10576
27	1268	10468
28	1306	10361
29	1342	10247
30	1374	10110
31	1408	9992
32	1449	9926
33	1488	9848
34	1526	9772
35	1566	9704
36	1612	9675
37	1655	9627
38	1697	9577
39	1740	9531
40	1775	9437
41	1809	9350
42	1845	9272
43	1881	9191
44	1915	9106
45	1945	9008
46	1980	8932
47	2018	8871
48	2057	8816
49	2108	8811
50	2170	8852
51	2223	8851
52	2267	8812
53	2313	8783
54	2360	8755
55	2404	8715
56	2445	8665
57	2483	8606
58	2530	8579
59	2581	8561
60	2622	8510
61	2661	8455
62	2702	8407
63	2743	8359
64	2794	8340
65	2849	8331
66	2927	8388
67	2980	8372
68	3025	8330
69	3067	8282
70	3114	8246
71	3165	8222
72	3210	8180
73	3249	8123
74	3285	8060
75	3324	8006
76	3361	7946
77	3397	7883
78	3437	7831
79	3472	7770
80	3510	7715
81	3553	7670
82	3592	7618
83	3633	7569
84	3680	7533
85	3716	7477
86	3754	7422
87	3788	7361
88	3821	7299
89	3867	7261
90	3904	7208
91	3943	7157
92	3979	7103
93	4010	7040
94	4039	6972
95	4074	6917
96	4106	6857
97	4137	6797
98	4171	6741
99	4201	6680
100	4236	6626
101	4267	6568
102	4291	6500
103	4324	6445
104	4357	6391
105	4395	6344
106	4429	6291
107	4463	6241
108	4502	6196
109	4537	6146
110	4578	6105
111	4619	6063
112	4656	6016
113	4696	5973
114	4736	5930
115	4777	5889
116	4821	5852
117	4863	5811
118	4941	5813
119	5015	5810
120	5072	5784
121	5118	5748
122	5178	5725
123	5205	5667
124	5254	5632
125	5296	5590
126	5333	5543
127	5378	5504
128	5419	5461
129	5461	5419
130	5500	5374
131	5542	5332
132	5582	5288
133	5619	5242
134	5660	5199
135	5697	5153
136	5737	5109
137	5778	5066
138	5820	5024
139	5862	4982
140	5903	4940
141	5939	4893
142	5976	4848
143	6004	4795
144	6039	4747
145	6071	4699
146	6109	4654
147	6142	4606
148	6175	4559
149	6211	4513
150	6246	4467
151	6283	4423
152	6318	4377
153	6353	4331
154	6390	4287
155	6427	4244
156	6461	4198
157	6499	4154
158	6539	4113
159	6579	4070
160	6623	4031
161	6670	3993
162	6709	3951
163	6748	3909
164	6788	3867
165	6828	3825
166	6876	3787
167	6924	3750
168	6967	3710
169	7006	3668
170	7039	3622
171	7073	3577
172	7104	3531
173	7139	3487
174	7175	3444
175	7211	3400
176	7248	3358
177	7287	3316
178	7330	3276
179	7371	3235
180	7408	3192
181	7446	3150
182	7505	3117
183	7563	3082
184	7592	3037
185	7633	2996
186	7677	2955
187	7713	2913
188	7747	2869
189	7785	2827
190	7817	2783
191	7851	2739
192	7882	2695
193	7918	2653
194	7950	2609
195	7984	2566
196	8020	2524
197	8048	2479
198	8078	2435
199	8112	2393
200	8145	2350
201	8178	2307
202	8212	2265
203	8243	2222
204	8280	2181
205	8320	2140
206	8362	2100
207	8411	2062
208	8441	2019
209	8473	1977
210	8508	1935
211	8544	1894
212	8579	1852
213	8613	1811
214	8648	1769
215	8683	1728
216	8720	1687
217	8752	1646
218	8785	1604
219	8814	1562
220	8843	1520
221	8874	1479
222	8907	1437
223	8939	1396
224	8970	1355
225	9004	1314
226	9038	1274
227	9070	1233
228	9109	1193
229	9156	1154
230	9203	1115
231	9242	1075
232	9280	1035
233	9316	995
234	9348	954
235	9385	914
236	9417	874
237	9448	833
238	9484	793
239	9515	753
240	9547	713
241	9580	673
242	9612	632
243	9642	592
244	9671	552
245	9703	512
246	9734	472
247	9769	433
248	9806	393
249	9845	354
250	9886	315
251	9926	275
252	9959	236
253	9993	196
254	10033	157
255	10068	117
256	10106	78
257	10142	39
258	10176	0
